word=asteróide,new_word=asteroide
word=redactoriais,new_word=redatoriais
word=retinóide,new_word=retinoide
word=retossigmóidea,new_word=retossigmoidea
word=seborréicas,new_word=seborreicas
word=seborréico,new_word=seborreico
word=seqüenciadas,new_word=sequenciadas
word=seqüestrarem,new_word=sequestrarem
word=seqüestrasse,new_word=sequestrasse
word=seqüestravam,new_word=sequestravam
word=siglóide,new_word=sigloide
word=sigmóidea,new_word=sigmoidea
word=sinusóide,new_word=sinusoide
word=subaracnóidea,new_word=subaracnoidea
word=subconcóide,new_word=subconcoide
word=tetradecanóico,new_word=tetradecanoico
word=tireoaritenóideo,new_word=tireoaritenoideo
word=toróide,new_word=toroide
word=tranqüilizadora,new_word=tranquilizadora
word=tranqüilizam,new_word=tranquilizam
word=tranqüilização,new_word=tranquilização
word=traqueídeos,new_word=traqueideos
word=triterpenóide,new_word=triterpenoide
word=triton,new_word=tríton
word=tâmisa,new_word=tamisa
word=urania,new_word=urânia
word=uréico,new_word=ureico
word=valpróico,new_word=valproico
word=viróide,new_word=viroide
word=vocóides,new_word=vocoides
word=zigóteno,new_word=zigoteno
word=aila,new_word=ailá
word=aléa,new_word=aleá
word=aneuplóide,new_word=aneuploide
word=arqueozóico,new_word=arqueozoico
word=atetóide,new_word=atetoide
word=azaléia,new_word=azaleia
word=baiúca,new_word=baiuca
word=bambi,new_word=bâmbi
word=benedictus,new_word=beneditus
word=cadméia,new_word=cadmeia
word=coité,new_word=coite
word=curaçá,new_word=curaca
word=deas,new_word=deãs
word=debilóide,new_word=debiloide
word=edéia,new_word=Edeia
word=enxagua,new_word=enxágua
word=epicuréia,new_word=epicureia
word=eufêmia,new_word=eufemia
word=eupnéia,new_word=eupneia
word=fanta,new_word=fantã
word=foça,new_word=foçã
word=geron,new_word=géron
word=graminóides,new_word=graminoides
word=gréias,new_word=greias
word=itaóca,new_word=itaoca
word=jateí,new_word=jatei
word=joca,new_word=joça
word=lipooxigenase,new_word=lipo-oxigenase
word=lister,new_word=líster
word=lupóide,new_word=lupoide
word=magnon,new_word=mágnon
word=martinis,new_word=martínis
word=monóico,new_word=monoico
word=multilingüismo,new_word=multilinguismo
word=paleogénico,new_word=paleogênico
word=panfilo,new_word=pânfilo
word=pierias,new_word=piérias
word=polaróides,new_word=polaroides
word=poliantéia,new_word=polianteia
word=rai,new_word=raí
word=reda,new_word=redá
word=rizóide,new_word=rizoide
word=sociolingüístico,new_word=sociolinguístico
word=sofía,new_word=sofia
word=taiúva,new_word=taiuva
word=tapaiúna,new_word=tapaiuna
word=tilacóide,new_word=tilacoide
word=tiróides,new_word=tiroides
word=traqueídeo,new_word=traqueideo
word=traqueíte,new_word=traqueite
word=tânis,new_word=tanis
word=zebróide,new_word=zebroide
word=zoóide,new_word=zooide
